Number;Identifier;Title;Author;Journal_Book;Year;Offline Explanation Acessment;Offline Explanation Metric;Number of Users;User Experiment;User Experiment Metrics;Explanation Source;Agnostic Or Post-Hoc
1;takami_flanagan_dai_ogata_2023;Personality-based tailored explainable recommendation for trustworthy smart learning system in the age of artificial intelligence;"Takami, Kyosuke; Flanagan, Brendan; Dai, Yiling; Ogata, Hiroaki";Smart Learning Environments;2023;No;-;-;Yes;A/B CTR(online);Personality;Post-Hoc
2;lin_zhang_lin_zeng_zhou_wu_2024;Knowledge-aware reasoning with self-supervised reinforcement learning for explainable recommendation in MOOCs;"Lin, Yuanguo; Zhang, Wei; Lin, Fan; Zeng, Wenhua; Zhou, Xiuze; Wu, Pengcheng";Neural Computing and Applications;2024;Yes;Explainable Items;All dataset;No;-;KG;Intrinsic
3;zanon_da_rocha_manzato_2024;Model-Agnostic Knowledge Graph Embedding Explanations for Recommender Systems;"Zanon, André Levi; Da Rocha, Leonardo Chaves Dutra; Manzato, Marcelo Garcia";Communications in Computer and Information Science;2024;Yes;KG;All dataset;No;-;KG;Post-Hoc
4;samih_ghadi_fennan_2023;Knowledge Embeddings for Explainable Recommendation;"Samih, Amina; Ghadi, Abderrahim; Fennan, Abdelhadi";Lecture Notes in Networks and Systems;2023;Yes;PoC;Few Examples;No;-;KG;Post-Hoc
5;li_liu_zhang_kou_liu_qu_2025;Integrating User Sentiment and Behavior for Explainable Recommendation;"Li, Dong; Liu, Zhicong; Zhang, Qingyu; Kou, Yue; Liu, Tingting; Qu, Haoran";Communications in Computer and Information Science;2025;Yes;Precision/Recall;Few Examples;No;-;Review;Post-Hoc
6;wen_liu_jing_yu_2024;Learning-based counterfactual explanations for recommendation;"Wen, Jingxuan; Liu, Huafeng; Jing, Liping; Yu, Jian";Science China Information Sciences;2024;Yes;Counterfactual;All dataset;No;-;Collaborative;Post-Hoc
7;long_jin_2024;Prompt Tuning Models on Sentiment-Aware for Explainable Recommendation;"Long, Xiuhua; Jin, Ting";Lecture Notes in Computer Science;2024;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Review;Post-Hoc
8;jendal_le_lauw_lissandrini_dolog_hose_2024;Hypergraphs with Attention on Reviews for Explainable Recommendation;"Jendal, Theis E.; Le, Trung-Hoang; Lauw, Hady W.; Lissandrini, Matteo; Dolog, Peter; Hose, Katja";Lecture Notes in Computer Science;2024;Yes;NLP(BLEU/ROUGE);All dataset;No;-;Hybrid(KG/Review);Post-Hoc
9;zhong_negre_2022;Context-Aware Explanations in Recommender Systems;"Zhong, Jinfeng; Negre, Elsa";Lecture Notes in Networks and Systems;2022;No;-;-;Yes;Expl.Goals(online);Review;Intrinsic
10;alizadeh_noughabi_behkamal_zarrinkalam_kahani_2024;Persuasive explanations for path reasoning recommendations;"Alizadeh Noughabi, Havva; Behkamal, Behshid; Zarrinkalam, Fattane; Kahani, Mohsen";Journal of Intelligent Information Systems;2024;Yes;KG;All dataset;No;-;Hybrid;Post-Hoc
11;zhang_zhu_wang_2023;Neighborhood Constraints Based Bayesian Personalized Ranking for Explainable Recommendation;"Zhang, Tingxuan; Zhu, Li; Wang, Jie";Lecture Notes in Computer Science;2023;Yes;Explainable Items;All dataset;No;-;Collaborative;Intrinsic
