BibliographyType,ISBN,Identifier,Author,Title,Journal,Volume,Number,Month,Pages,Year,Address,Note,URL,Booktitle,Chapter,Edition,Series,Editor,Publisher,ReportType,Howpublished,Institution,Organizations,School,Annote,Custom1,Custom2,Custom3,Custom4,Custom5,Journal_Book
7,,takami_flanagan_dai_ogata_2023,"Takami, Kyosuke; Flanagan, Brendan; Dai, Yiling; Ogata, Hiroaki",Personality-based tailored explainable recommendation for trustworthy smart learning system in the age of artificial intelligence,Smart Learning Environments,10.0,1.0,,,2023,,,,,,,,,Smart Learning Environments,,,,,,,,,,,,Smart Learning Environments
7,,lin_zhang_lin_zeng_zhou_wu_2024,"Lin, Yuanguo; Zhang, Wei; Lin, Fan; Zeng, Wenhua; Zhou, Xiuze; Wu, Pengcheng",Knowledge-aware reasoning with self-supervised reinforcement learning for explainable recommendation in MOOCs,Neural Computing and Applications,36.0,8.0,,4115–4132,2024,,,,,,,,,Neural Computing and Applications,,,,,,,,,,,,Neural Computing and Applications
5,,zanon_da_rocha_manzato_2024,"Zanon, André Levi; Da Rocha, Leonardo Chaves Dutra; Manzato, Marcelo Garcia",Model-Agnostic Knowledge Graph Embedding Explanations for Recommender Systems,,,,,3–27,2024,,,,Communications in Computer and Information Science,,,,,Communications in Computer and Information Science,,,,,,,,,,,,Communications in Computer and Information Science
5,,samih_ghadi_fennan_2023,"Samih, Amina; Ghadi, Abderrahim; Fennan, Abdelhadi",Knowledge Embeddings for Explainable Recommendation,,,,,116–126,2023,,,,Lecture Notes in Networks and Systems,,,,,Lecture Notes in Networks and Systems,,,,,,,,,,,,Lecture Notes in Networks and Systems
5,,li_liu_zhang_kou_liu_qu_2025,"Li, Dong; Liu, Zhicong; Zhang, Qingyu; Kou, Yue; Liu, Tingting; Qu, Haoran",Integrating User Sentiment and Behavior for Explainable Recommendation,,,,,135–148,2025,,,,Communications in Computer and Information Science,,,,,Communications in Computer and Information Science,,,,,,,,,,,,Communications in Computer and Information Science
7,,wen_liu_jing_yu_2024,"Wen, Jingxuan; Liu, Huafeng; Jing, Liping; Yu, Jian",Learning-based counterfactual explanations for recommendation,Science China Information Sciences,67.0,8.0,,,2024,,,,,,,,,Science China Information Sciences,,,,,,,,,,,,Science China Information Sciences
5,,long_jin_2024,"Long, Xiuhua; Jin, Ting",Prompt Tuning Models on Sentiment-Aware for Explainable Recommendation,,,,,116–132,2024,,,,Lecture Notes in Computer Science,,,,,Lecture Notes in Computer Science,,,,,,,,,,,,Lecture Notes in Computer Science
5,,jendal_le_lauw_lissandrini_dolog_hose_2024,"Jendal, Theis E.; Le, Trung-Hoang; Lauw, Hady W.; Lissandrini, Matteo; Dolog, Peter; Hose, Katja",Hypergraphs with Attention on Reviews for Explainable Recommendation,,,,,230–246,2024,,,,Lecture Notes in Computer Science,,,,,Lecture Notes in Computer Science,,,,,,,,,,,,Lecture Notes in Computer Science
5,,zhong_negre_2022,"Zhong, Jinfeng; Negre, Elsa",Context-Aware Explanations in Recommender Systems,,,,,76–85,2022,,,,Lecture Notes in Networks and Systems,,,,,Lecture Notes in Networks and Systems,,,,,,,,,,,,Lecture Notes in Networks and Systems
7,,alizadeh_noughabi_behkamal_zarrinkalam_kahani_2024,"Alizadeh Noughabi, Havva; Behkamal, Behshid; Zarrinkalam, Fattane; Kahani, Mohsen",Persuasive explanations for path reasoning recommendations,Journal of Intelligent Information Systems,,,,,2024,,,,,,,,,Journal of Intelligent Information Systems,,,,,,,,,,,,Journal of Intelligent Information Systems
5,,zhang_zhu_wang_2023,"Zhang, Tingxuan; Zhu, Li; Wang, Jie",Neighborhood Constraints Based Bayesian Personalized Ranking for Explainable Recommendation,,,,,166–173,2023,,,,Lecture Notes in Computer Science,,,,,Lecture Notes in Computer Science,,,,,,,,,,,,Lecture Notes in Computer Science
7,,zheng_chen_cao_peng_huang_2024,"Zheng, Jianxing; Chen, Sen; Cao, Feng; Peng, Furong; Huang, Mingqing",Explainable recommendation based on fusion representation of multi-type feature embedding,The Journal of Supercomputing,80.0,8.0,,10370–10393,2024,,,,,,,,,The Journal of Supercomputing,,,,,,,,,,,,The Journal of Supercomputing
7,,wang_xie_ding_chen_xiang_2025,"Wang, Shirui; Xie, Bohan; Ding, Ling; Chen, Jianting; Xiang, Yang",Reinforced logical reasoning over KGs for interpretable recommendation system,Machine Learning,114.0,4.0,,,2025,,,,,,,,,Machine Learning,,,,,,,,,,,,Machine Learning
7,,sang_yang_zhang_liao_2025,"Sang, Chun-Yan; Yang, Yang; Zhang, Yi-Bo; Liao, Shi-Gen",A user preference knowledge graph incorporating spatio-temporal transfer features for next POI recommendation,Applied Intelligence,55.0,6.0,,,2025,,,,,,,,,Applied Intelligence,,,,,,,,,,,,Applied Intelligence
6,,9811151,"Zarzour, Hafed; Alsmirat, Mohammad; Jararweh, Yaser",Using Deep Learning for Positive Reviews Prediction in Explainable Recommendation Systems,,,,June,358-362,2022,,,,International Conference on Information and Communication Systems (ICICS),,,,,,,,,,,,"In the recent years, recommender systems have begun to attract the attention of many online-based companies. While these systems are being developed to provide users with better recommendations, they suffer from the lack of explain-ability. The explainable recommendation systems are developed to solve the problem of why certain products or services are recommended to a particular user. However, less attention has been attracted for predicting positive reviews from the whole data in the context of explainable recommendation. Therefore, in this paper, we focus on developing a model that uses deep learning for predicting positive reviews in explainable recommendation systems. It enables users to get not only intuitive explanations for the recommended items, but also to get more transparency by investigating whether the explanations are positive ones. To evaluate the proposed model, we conduct experiments on a benchmark dataset from Amazon. Experimental results demonstrate the efficacy of the proposed model against the baselines.",,Deep learning;Communication systems;Companies;Predictive models;Benchmark testing;Recommender systems;Deep learning;Deep neural network;Recommender system;Explainable recommendation;Machine learning;Prediction model,,,International Conference on Information and Communication Systems (ICICS)
6,,8622439,"Suzuki, Takafumi; Oyama, Satoshi; Kurihara, Masahito",Toward Explainable Recommendations: Generating Review Text from Multicriteria Evaluation Data,,,,Dec,3549-3551,2018,,,,IEEE International Conference on Big Data (Big Data),,,,,,,,,,,,"Explaining recommendations helps users to make more accurate and effective decisions and improves system credibility and transparency. Current explainable recommender systems tend to provide fixed statements such as ""customers who purchased this item also purchased...."". This explanation is generated only on the basis of the purchase history of similar customers, so it does not include the preferences of customers who have purchased the item or a description of the item. Since user-generated reviews generally contain information about the reviewer's preferences and a description of the item, such reviews typically have more effect on purchase decisions. Therefore, using reviews to explain recommendations should be more useful than providing only a fixed statement explanation. Aiming to create a system that provides personalized explanations for recommendations, we have developed a recurrent neural network model that uses multicriteria evaluation data to generate reviews.",,Decoding;Data models;Recommender systems;Mathematical model;Computational modeling;History;Recurrent neural networks;explainable recommendation;text generation;RNN;recommender systems,,,IEEE International Conference on Big Data (Big Data)
6,,10741116,"Tohidi, Nasim; Beheshti, Maedeh",Enhanced Explanations in Recommendation Systems,,,,Oct,1-5,2024,,,,IEEE International Symposium on Systems Engineering (ISSE),,,,,,,,,,,,"Recommendation Systems (RSs) play a crucial role in assisting users in making decisions and finding their desired items in various domains, such as movies, music, and hotels. However, their complex algorithms often raise concerns about transparency, fairness, and user trust. To address these challenges, we tried to propose a theoretical approach that combines SHAP (SHapley Additive exPlanations) and LIME (Local Interpretable Model-Agnostic Explanations) techniques to enhance the transparency and interpretability of RSs. We present a methodology for applying this approach in the context of movie recommendation, where SHAP values quantify global feature importance, and LIME explanations provide localized insights. This work can contribute to the advancement of transparent and user-centric RSs, with implications for a wide range of applications.",,Additives;Filtering;Motion pictures;Modeling;Recommender systems;recommendation system;explainability;interpretability;collaborative filtering,,,IEEE International Symposium on Systems Engineering (ISSE)
6,,9607106,"Vultureanu-Albişi, Alexandra; Bădică, Costin",Explainable Collaborative Filtering Recommendations Enriched with Contextual Information,,,,Oct,701-706,2021,,,,"International Conference on System Theory, Control and Computing (ICSTCC)",,,,,,,,,,,,"Today, the most important requirement of intelligent systems is to be able to explain their decisions to the end-user. Fulfilling this requirement is the goal of explainable AI (XAI) that proposes to produce explainable models that enable end-users to understand and trust the models. This research addresses the explainability of the recommendations. This paper presents an explainable recommender system for point of interest recommendations taking into account the context of the user. In our experiments we have used the STS (South Tyrol Suggests) dataset. The following major steps are part of our methodology: i) presenting the dataset, ii) using Restricted Boltzmann Machine based collaborative filtering recommendations, iii) using contextual information, and iv) extracting and presenting explanations for recommendations based on contextual information. The novelty that we propose in explainable recommender systems is a new explainable recommendation technique, which is quantitative and qualitative, providing both the list of top-n recommendations and the explanations of the recommendations based on context. This paper also provides an overview of research on this topic.",,Collaborative filtering;Computational modeling;Neural networks;Information filters;Control systems;Data mining;Usability;recommender systems;collaborative filtering;Restricted Boltzmann Machine;contextual information,,,"International Conference on System Theory, Control and Computing (ICSTCC)"
6,,9260076,"Lonjarret, Corentin; Robardet, Céline; Plantevit, Marc; Auburtin, Roch; Atzmueller, Martin",Why Should I Trust This Item? Explaining the Recommendations of any Model,,,,Oct,526-535,2020,,,,IEEE International Conference on Data Science and Advanced Analytics (DSAA),,,,,,,,,,,,"Explainable AI has received a lot of attention over the past decade, with the proposal of many methods explaining black box classifiers such as neural networks. Despite the ubiquity of recommender systems in the digital world, only few researchers have attempted to explain their functioning, whereas it raises e.g., ethical issues. Indeed, recommender systems direct user choices to a large extent and their impact is important as they give access to only a small part of the range of items (e.g., products and/or services), as the submerged part of the iceberg. Consequently, they limit access to other resources. The potentially negative effects of these systems have been pointed out as phenomena like echo chambers and winner-take-all effects, because the internal logic of these systems is to likely enclose the consumer in a ""dej́ a vu"" loop. Therefore, it is crucial to provide explanations' of such recommender systems and to identify the user data that led the system to make a specific recommendation. This makes it possible to evaluate recommender systems not only regarding their efficiency (i.e., their capability to recommend an item that was actually chosen by the user), but also w.r.t. the diversity, relevance and timeliness of the active data used to make the recommendation. In this paper, we propose a deep analysis of 7 state-of-the-art models learnt on 6 datasets based on the identification of the items or the sequences of items actively used by the models. The proposed method, which is based on subgroup discovery with different pattern languages (i.e., itemsets and sequences), provides interpretable explanations of the recommendations - useful to compare different models and explain the reasons behind the recommendation to the user.",,Recommender systems;History;Data science;Analytical models;Perturbation methods;Numerical models;Machine learning;Recommender systems;Explainable AI;Subgroup discovery,,,IEEE International Conference on Data Science and Advanced Analytics (DSAA)
6,,10776491,"Praseptiawan, Mugi; Muchtarom, M. Fikri Damar; Putri, Nabila Muthia; Pee, Ahmad Naim Che; Zakaria, Mohd Hafiz; Untoro, Meida Cahyo",Mooc Course Recommendation System Model with Explainable AI (XAI) Using Content Based Filtering Method,,,,Sep.,144-147,2024,,,,"International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)",,,,,,,,,,,,"Massive Open Online Course (MOOC) is a type of online course that has been designed and can be accessed by all individuals via the internet. The problem that is often found in MOOCs is the lack of a recommendation system provided by the algorithm of the MOOC. This research is conducted to analyze a recommendation system that applies the Content Based Filtering approach in order to solve the problems that occur. The recommendation system analyzed will function as a media that provides recommendations to users based on their preferences. By utilizing content-based methods, the recommendations given are expected to be exactly what the user wants. The level of explainability of the recommendation system is further emphasized by XAI using ELI5. By getting a concise explanation when a recommendation is given, the system will gain more trust from users for providing an appropriate recommendation. The assessment of the accuracy of the recommendation system model is measured using MAE. By researching this recommendation system using XAI, it is hoped that it can help future systems to improve the quality of the course recommendation system.",,Electrical engineering;Computer science;Computer aided instruction;Electronic learning;Filtering;Explainable AI;Media;Data models;Informatics;Recommender systems;MODC;content-based filtering;XAI;recommender system,,,"International Conference on Electrical Engineering, Computer Science and Informatics (EECSI)"
6,,9005590,"Suzuki, Takafumi; Oyama, Satoshi; Kurihara, Masahito",Explainable Recommendation Using Review Text and a Knowledge Graph,,,,Dec,4638-4643,2019,,,,IEEE International Conference on Big Data (Big Data),,,,,,,,,,,,"Recommender systems using a knowledge graph can comprehensively organize users and items and their attributes and thereby improve recommendation performance. In addition, the relationship between users and items can be easily interpreted on the basis of entities and relations, thus giving explanations to recommendations. The algorithms and knowledge graphs used for generating explanations have not utilized review text. We have developed a recommendation method for predicting interactions between users and items using a knowledge graph and review text. The underlying user-item relationships are reflected and explanations are generated by predicting user-item interactions from the paths between a user and an item. The modeling is done using a recurrent neural network or a factorization machine. Items' aspects that interest users are extracted from review text and leveraged using an attention-like mechanism. Since the path between a user and an item can be easily interpreted, and the important aspects between a user and an item can be interpreted by observing the attention weight, the proposed model can generate a reasonable recommendation explanation. Testing using a real-world dataset demonstrated that the proposed model can explain the recommendations.",,Big Data;Machine-to-machine communications;Conferences;Recommendation;Knowledge Graph;Explainability;Review text;Recurent Neural Network,,,IEEE International Conference on Big Data (Big Data)
6,,10260804,"Rani, Neha; Qian, Yadi; Chu, Sharon Lynn",Explanation for User Trust in Context-Aware Recommender Systems for Search-As-Learning,,,,July,47-49,2023,,,,IEEE International Conference on Advanced Learning Technologies (ICALT),,,,,,,,,,,,"Learning through web browsing, often termed Search-as-Learning (SaL), can create information overload, due to thousands of search results. SaL can be made more efficient by developing context-aware tools that recommend items to the user and minimize information overload. However, to use context-aware recommender systems (CARS) users need to trust it. Literature has proposed explanations as a feature that helps to build trust. We investigate the impact of explanation on user trust and user experience for using CARS for SaL. Our study results show that people trust a CARS without explanation more during the first use, but for a CARS with explanations, user trust is significant only after multiple uses. Through interviews, we also uncovered the interesting paradox that even though users do not perceive that explanations add to their learning outcomes, they still prefer to use a CARS with explanations over one without.",,User experience;Automobiles;Interviews;Recommender systems;Explanation;Trust;User Experience;Context-Aware Recommender System,,,IEEE International Conference on Advanced Learning Technologies (ICALT)
6,,10683822,"Vultureanu-Albişi, Alexandra; Murareţu, Ionuţ; Bădică, Costin",A Trustworthy and Explainable AI Recommender System: Job Domain Case Study,,,,Sep.,1-7,2024,,,,International Conference on INnovations in Intelligent SysTems and Applications (INISTA),,,,,,,,,,,,"Finding a job these days is challenging because of the size, diversity, and goals of the market in a society impacted by pandemics, economic crises, or military hostilities. Trust is the most crucial factor in the job domain after performance expectations. It is particularly significant for women, less active job seekers, and people who did not experience job recommendations. Since recommender systems (RS) are one of the most frequently encountered human-centered and online applications in our daily lives, it is important to note that sound principles of trusting the environment of Artificial Intelligence (AI) systems are also required to characterize the trustworthiness of recommender systems. Otherwise, inadequate advice, high expectations and bad interpretations could lead to making bad choices or to demotivating job seekers. This paper expands on previous research, highlighting the point of view of trustworthiness in job recommender systems (JRS) and providing an overview of the dimensions of AI trustworthiness for the job domain. The purpose of this study is to investigate how trustworthy and suggestive outputs can improve the communication between a job mediator and a job seeker by enhancing the credibility of the information provided to job applicants and increasing customer satisfaction.",,Economics;Technological innovation;Pandemics;Explainable AI;Customer satisfaction;Cultural differences;Intelligent systems;job recommender system;trustworthiness;explainability;fairness,,,International Conference on INnovations in Intelligent SysTems and Applications (INISTA)
6,,9079084,"Zarzour, Hafed; Jararweh, Yaser; Hammad, Mahmoud M.; Al-Smadi, Mohammed",A long short-term memory deep learning framework for explainable recommendation,,,,April,233-237,2020,,,,International Conference on Information and Communication Systems (ICICS),,,,,,,,,,,,"Due to the growing quantity of information available on the Web, recommender systems have become crucial component for the success of online shopping stores. However, most of the existing recommender systems were only designed to improve the recommendation results and ignore the explainable recommendation aspect. Therefore, in this paper we propose a long short-term memory deep learning framework for explainable recommendation, that is able to generate an efficient explanation for any rating made by users for a recommended item. Such a framework would help users to choose a product with confident after reading the automatically generated explanation by our framework. The generated explanation is a concise sentence that shows the reason behind a recommendation, i.e., why a user should select that product. Extensive experiments on a real-world dataset from Amazon are conducted with the goal to evaluate the effectiveness of the proposed method in terms of loss and accuracy metrics. The experimental results demonstrate the effectiveness of our method according to the diversity in generating explainable recommendation.",,Deep learning;Measurement;Communication systems;Memory management;Electronic commerce;Recommender systems;long short-term memory (LSTM);deep learning;explainable recommendation;recommender system;machine learning,,,International Conference on Information and Communication Systems (ICICS)
6,,9836983,"Walek, Bogdan; Fajmon, Petr",A Recommender System for Recommending Suitable Products in E-shop Using Explanations,,,,May,16-20,2022,,,,"International Conference on Artificial Intelligence, Robotics and Control (AIRC)",,,,,,,,,,,,"This article proposes a recommender system for recommending relevant products in e-shop using explanations. The proposed system consists of three recommender modules called VIEW, RATING, and PURCHASE. The recommender modules use a content-based filtering approach and a collaborative filtering approach. The proposed recommender system works with explanations that contain arguments why the system recommended the specific product. Based on these explanations the user sees why specific products are recommended by the system. The proposed system was experimentally verified and the results of the experimental verification are discussed.",,Filtering;Collaborative filtering;Control systems;Artificial intelligence;Recommender systems;Robots;Testing;recommender system;e-shop recommender system;hybrid recommender system;explanations;content-based filtering;collaborative filtering,,,"International Conference on Artificial Intelligence, Robotics and Control (AIRC)"
