"ID","commentjust","commentrec","convincing","discover","diverse_on_a","diversity","popularity","time","trust","understood"
"4221f534-a566-4fe1-af3b-2e73067a521c","","""I've already watched 4 of the 5 recommended movies, which means it has effectively understood my taste.""","More B","Much More B","0","More A","More B","Tue Apr 18 2023 10:05:30 GMT-0300 (Brasilia Standard Time)","More B","More B"
"3cdae0e0-3b22-46f3-a286-f502d2115f80","","","Much More A","Much More A","0","Much More A","Much More A","Thu Apr 20 2023 16:28:55 GMT-0300 (Horário Padrão de Brasília)","Much More A","Much More A"
"8865717f-1ee0-4efb-a09b-e1173e28cf04","""If I consider 2 justifications, it seems it was only added some words to explain. It does not have the hability to provide a different justification.""","""I did not like the recommendations ""","Equal","Equal","1","Equal","Equal","Thu Apr 13 2023 12:11:57 GMT-0300 (Horário Padrão de Brasília)","Equal","Equal"
"7d6d6774-c7b1-49c4-b4e4-c62bfd4588d1","","","More B","Equal","0","Much More B","More A","Sat Apr 22 2023 16:43:17 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"b4d1204b-42cf-4a56-b0f7-6813795a2923","","","Equal","Much More B","1","More A","More A","Sat Apr 22 2023 16:25:25 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"73154f98-a5ae-4b38-9202-e688a0a86e28","I would not use the criteria addopted","I would not choose these recommendation","More A","More B","0","More A","More A","Thu Apr 20 2023 20:29:17 GMT-0300 (Horário Padrão de Brasília)","More A","More A"
"277ace42-bf8e-4af7-82a2-f2a98ffdad95","","","Equal","Equal","1","More B","Equal","Thu Apr 20 2023 13:31:36 GMT-0300 (Horário Padrão de Brasília)","Equal","More B"
"ee8986ab-7ee0-4349-b578-710a33058958","","","Equal","More B","1","Equal","More B","Sat Apr 22 2023 19:25:43 GMT-0300 (Horário Padrão de Brasília)","Equal","Equal"
"b7d90b39-7606-47bf-8552-d8670e7e015a","Also justify with movie plot and genre elements.","The recommendations are great! Also it would be nice to have recommendations that considered movie genre and plot elements.","More A","More A","0","Equal","More B","Sat Apr 22 2023 18:10:45 GMT-0300 (Brasilia Standard Time)","Much More A","More B"
"282ef334-b2de-4873-b8c0-e6e94b9777e2","","","Equal","Equal","0","Equal","Equal","Wed Apr 19 2023 21:29:38 GMT-0300 (Horário Padrão de Brasília)","Equal","Equal"
"42aab9b2-db24-421f-ace6-4564397942ae","","","More B","More A","1","Equal","More A","Mon Apr 24 2023 12:59:09 GMT-0300 (Horário Padrão de Brasília)","More B","More B"
"1cf52f56-d06f-4f56-9b6c-3894edeb795b","""The explanations in A are better and more trustable than B. I only think that other reasons, like the genre, can also explain why such films were recommended.""","""Recommendations are not bad. I only missed some animation :D ""","More A","Equal","1","More A","More B","Thu Apr 13 2023 22:32:38 GMT+0200 (Central European Summer Time)","More A","More A"
